Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2024-09-1,9.5,19.0,0.0,NW,67.0,13:22,14.7,48.0,1.0,NW,26,1013.2,17.9,32.0,WNW,39.0,1010.6
2024-09-2,10.4,14.0,0.0,WNW,85.0,10:06,10.8,58.0,8.0,W,56,1009.8,12.0,34.0,WNW,43.0,1014.6
2024-09-3,-0.1,15.9,0.0,NW,30.0,14:59,8.0,55.0,7.0,NW,11,1029.6,15.0,36.0,NW,19.0,1028.1
2024-09-4,-2.5,20.1,0.0,NNW,44.0,15:01,6.4,85.0,7.0,NNW,7,1028.9,18.3,25.0,NNW,30.0,1023.8
2024-09-5,2.4,22.6,0.0,NNW,50.0,12:03,15.1,54.0,7.0,NNW,28,1024.4,22.0,36.0,NW,35.0,1021.2
2024-09-6,9.0,24.4,0.0,NW,63.0,10:28,17.2,51.0,8.0,NW,35,1023.3,23.6,32.0,NW,35.0,1018.5
2024-09-7,13.2,20.2,0.0,NNW,44.0,01:26,13.9,79.0,7.0,NNW,13,1024.1,19.3,41.0,N,30.0,1021.6
2024-09-8,-0.6,17.6,0.0,WNW,50.0,13:48,8.9,67.0,8.0,ENE,6,1021.8,16.3,36.0,W,35.0,1017.8
2024-09-9,8.6,18.6,0.0,NW,54.0,14:50,14.6,54.0,8.0,NNW,20,1017.6,16.2,44.0,WNW,31.0,1017.3
2024-09-10,-0.8,19.9,0.0,NNW,22.0,13:34,9.1,67.0,8.0,SSE,2,1026.2,19.1,32.0,NNE,11.0,1023.7
2024-09-11,0.2,19.4,0.0,NW,37.0,10:29,10.6,74.0,1.0, ,Calm,1025.5,18.4,47.0,NNW,22.0,1021.9
2024-09-12,5.7,15.4,0.0,SSW,37.0,10:01,12.9,64.0,4.0,SSE,17,1023.9,13.4,63.0,SSE,11.0,1024.5
2024-09-13,-1.8,16.7,0.0,SSE,30.0,00:04,7.9,63.0,7.0,S,7,1029.6,15.9,46.0,N,17.0,1025.1
2024-09-14,-2.0,18.3,0.0,S,52.0,19:42,7.0,99.0,8.0,NW,9,1024.6,16.3,30.0,WNW,33.0,1019.9
2024-09-15,0.6,12.9,0.6,S,63.0,08:09,6.8,51.0,7.0,SSE,41,1028.9,11.9,36.0,S,24.0,1028.5
2024-09-16,-6.9,16.8,0.0,NW,35.0,14:53,4.2,67.0,8.0,N,7,1027.7,15.9,30.0,NNW,22.0,1023.4
2024-09-17,-2.4,18.6,0.0,NW,48.0,15:53,9.3,67.0,8.0,NW,9,1026.9,17.9,34.0,WNW,31.0,1021.1
2024-09-18,2.2,18.7,0.0,WNW,70.0,10:02,13.7,37.0,8.0,NW,22,1017.8,17.7,28.0,WNW,31.0,1013.3
2024-09-19,5.5,18.2,0.0,WNW,72.0,11:43,14.8,38.0,1.0,NW,26,1010.2,15.9,35.0,WNW,35.0,1006.8
2024-09-20,4.6,17.2,0.0,WNW,52.0,12:38,11.3,56.0,8.0,NW,26,1010.6,14.7,41.0,WNW,31.0,1008.8
2024-09-21,8.9,17.0,0.0,WNW,59.0,04:51,12.7,48.0,2.0,W,30,1011.0,14.4,42.0,WNW,33.0,1010.5
2024-09-22,6.9,18.5,0.0,WNW,57.0,09:55,13.8,55.0,8.0,NW,22,1016.6,16.7,39.0,W,31.0,1016.1
2024-09-23,7.5,22.5,0.0,NW,48.0,13:18,15.8,49.0,7.0,NNW,26,1019.7,20.9,31.0,WNW,31.0,1018.0
2024-09-24,3.0,24.9,0.0,NW,52.0,14:01,13.4,66.0,1.0, ,Calm,1022.3,22.5,29.0,N,31.0,1016.1
2024-09-25,12.0,21.7,0.0,NW,65.0,09:34,15.6,69.0,8.0,NW,39,1014.7,14.2,88.0,NNW,20.0,1012.8
2024-09-26,4.5,12.6,19.6,SSE,48.0,11:21,6.2,87.0,7.0,SSE,17,1021.1,11.7,40.0,SE,20.0,1020.6
2024-09-27,-0.4,16.1,0.4,E,46.0,14:51,9.2,56.0,5.0,S,17,1029.2,14.0,45.0,ENE,24.0,1027.0
2024-09-28,1.2,18.9,0.2,E,37.0,13:29,11.2,70.0,7.0,SE,13,1029.8,17.8,47.0,E,19.0,1025.2
2024-09-29,3.7,20.5,0.0,NNW,44.0,12:47,12.7,71.0,1.0,N,7,1023.6,18.9,49.0,NNW,26.0,1018.6
2024-09-30,5.9,20.9,0.0,NNE,30.0,15:54,14.6,63.0,8.0,NW,7,1021.2,19.6,45.0,N,19.0,1019.1
2024-12-1,17.6,26.2,40.4,WNW,43.0,17:25,19.2,87.0,8.0,NNW,13,1007.6,24.2,54.0,NW,22.0,1005.2
2024-12-2,10.2,30.8,0.6,NNW,56.0,12:48,21.5,59.0,8.0,WNW,15,1009.1,29.6,29.0,W,20.0,1007.3
2024-12-3,16.5,25.3,0.0,NNW,56.0,13:42,20.9,80.0,7.0,NNW,15,1008.6,23.5,71.0,NNW,31.0,1006.0
2024-12-4,16.6,30.5,7.0,E,43.0,16:08,21.8,92.0,7.0,N,11,1014.9,29.2,55.0,N,19.0,1013.9
2024-12-5,14.5,30.5,4.4,NNW,31.0,14:40,18.3,80.0,8.0,E,6,1020.2,30.2,52.0,NW,17.0,1016.4
2024-12-6,18.3,33.5,0.0,E,57.0,17:22,24.7,71.0,7.0, ,Calm,1018.6,33.1,44.0,W,13.0,1013.3
2024-12-7,19.6,31.0,48.6,WNW,46.0,14:59,22.8,89.0,8.0,NNW,22,1010.1,30.6,52.0,WNW,28.0,1006.3
2024-12-8,19.3,28.0,0.2,NW,46.0,11:22,24.5,44.0,1.0,W,19,1009.1,27.3,22.0,WNW,28.0,1009.0
2024-12-9,11.8,23.1,0.0,N,33.0,12:40,17.9,68.0,8.0,E,6,1014.0,20.2,37.0,WNW,17.0,1013.5
2024-12-10,7.2,28.0,0.0,E,59.0,17:26,17.2,62.0,8.0,NNW,4,1012.4,25.3,33.0,N,20.0,1008.5
2024-12-11,12.6,27.3,0.0,NW,46.0,14:43,18.3,68.0,8.0,NNW,9,1010.2,26.3,23.0,WNW,28.0,1006.1
2024-12-12,9.1,30.3,0.0,NW,44.0,13:20,18.2,62.0,8.0,N,4,1008.5,28.8,28.0,NNW,26.0,1005.3
2024-12-13,10.1,30.3,0.0,E,43.0,19:13,21.0,70.0,8.0,NW,7,1008.1,29.6,27.0,WNW,24.0,1006.3
2024-12-14,16.4,32.2,0.0,NW,50.0,12:50,20.8,69.0,1.0,N,4,1011.0,31.8,20.0,WNW,31.0,1008.6
2024-12-15,13.4,33.0,0.0,ENE,52.0,18:10,23.2,63.0,7.0,SE,2,1012.3,31.7,24.0,NNW,15.0,1010.2
2024-12-16,12.8,34.5,0.0,NW,37.0,13:46,22.1,62.0,8.0,ENE,6,1014.9,32.8,31.0,NNW,24.0,1010.3
2024-12-17,17.7,32.5,0.0,NW,50.0,10:39,26.7,49.0,7.0,NNW,26,1008.7,31.6,32.0,WNW,30.0,1005.5
2024-12-18,14.0,25.8,0.0,E,50.0,18:28,15.6,62.0,8.0,SSE,19,1016.7,24.8,23.0,SSW,22.0,1015.2
2024-12-19,6.5,25.5,0.0,NE,39.0,16:30,16.7,56.0,6.0,E,22,1019.7,23.7,38.0,N,11.0,1015.3
2024-12-20,8.5,29.7,0.0,N,35.0,17:04,16.3,66.0,8.0,W,7,1013.6,27.8,36.0,NNW,13.0,1008.0
2024-12-21,10.8,32.7,0.0,NNW,52.0,12:42,20.0,61.0,8.0, ,Calm,1008.9,31.9,20.0,WNW,20.0,1005.0
2024-12-22,11.2,29.6,0.0,NW,52.0,16:01,18.1,68.0,8.0,ENE,11,1007.9,28.2,28.0,NW,22.0,1002.3
2024-12-23,12.4,22.2,0.0,WNW,63.0,13:54,18.2,43.0,1.0,W,31,1000.8,20.7,28.0,WNW,33.0,1002.3
2024-12-24,3.6,26.2,0.0,NNW,31.0,14:28,14.3,43.0,8.0,ESE,6,1011.4,24.3,27.0,NW,17.0,1010.1
2024-12-25,8.7,31.3,0.0,E,44.0,18:23,18.6,63.0,8.0,N,4,1016.6,29.7,29.0,N,11.0,1012.7
2024-12-26,9.8,34.1,0.0,NW,56.0,15:37,20.7,60.0,7.0,N,7,1014.3,33.3,19.0,NW,28.0,1008.0
2024-12-27,18.9,28.6,0.6,NW,56.0,13:06,22.9,54.0,7.0,NNW,31,1003.2,27.8,30.0,NNW,28.0,1002.8
2024-12-28,11.7,26.5,0.0,NNW,50.0,10:31,17.2,67.0,8.0,N,15,1009.4,25.8,23.0,WNW,22.0,1007.3
2024-12-29,6.7,29.8,0.0,ENE,48.0,17:51,19.4,40.0,8.0,WNW,7,1014.2,27.0,26.0,NNW,17.0,1012.4
2024-12-30,13.7,31.0,0.0,NNW,37.0,14:22,18.6,66.0,4.0,NNE,9,1019.5,29.1,27.0,NW,20.0,1014.2
